Product Name,Launch Date(s),Product Hunt URL,Official Website,Founder Name(s),Founder Evidence Type,Contact Email(s),Founder Source Links,Email Source Links,Notes
Upstream,2026-6-18,https://www.producthunt.com/products/upstream-3,https://www.upstream.do/?utm_source=producthunt&utm_medium=launch&utm_campaign=launch&utm_content=top_button,Joseph Calvo; Patryk Jeziorowski; Konstantin L,Product Hunt public launch-team/maker names; founder title not independently verified,contact@upstream.do; louis@upstream.do,https://www.producthunt.com/products/upstream-3,https://www.upstream.do/for-teams,
Jesse,2026-6-18,https://www.producthunt.com/products/jesse-2,https://agentjesse.ai/?ref=producthunt,Sarthak Shrivastava; ritesh kumar; Sudipta Biswas,Product Hunt public launch-team/maker names; founder title not independently verified,business@floworks.ai,https://www.producthunt.com/products/jesse-2,https://agentjesse.ai/contact; https://agentjesse.ai/contact-us; https://agentjesse.ai/about; https://agentjesse.ai/about-us; https://agentjesse.ai/team; https://agentjesse.ai/company; https://agentjesse.ai/support; https://agentjesse.ai/help,Email domain differs from the Product Hunt-listed site domain; verify parent-company relationship.
Honestly,2026-6-18,https://www.producthunt.com/products/honestly,https://usehonestly.com,Kalvin Kazemi; Paolo from Honestly; Scott Davidson Jr.,Product Hunt public launch-team/maker names; founder title not independently verified,,https://www.producthunt.com/products/honestly,https://www.usehonestly.com/about; https://www.usehonestly.com/about/,No qualifying public business/contact email was found on the crawled official-site pages.
Elvin,2026-6-18,https://www.producthunt.com/products/elvin,https://www.tryelvin.com/?ref=producthunt,Vinay Rao; Ellie Powers,Product Hunt public launch-team/maker names; founder title not independently verified,info@tryelvin.com,https://www.producthunt.com/products/elvin,https://tryelvin.com/about; https://tryelvin.com/team,
Agentic videos by D-ID,2026-6-18,https://www.producthunt.com/products/d-id,https://d-id.com,Andrew McCalla; Gilad Japhet; Gil Perry; Sella Blondheim; Eliran Kuta,Official website founder-role or founded-by evidence,,https://d-id.com; https://www.producthunt.com/products/d-id,https://www.d-id.com/about-us/; https://www.d-id.com/contact-us/,No qualifying public business/contact email was found on the crawled official-site pages.
Tabstack Dev Tools,2026-6-18; 2026-6-28; 2026-7-1,https://www.producthunt.com/products/tabstack,https://tabstack.ai,Steve McDougall; Dan Fernie-Harper; Les Orchard,Product Hunt public launch-team/maker names; founder title not independently verified,support@tabstack.ai,https://www.producthunt.com/products/tabstack,https://tabstack.ai,
Retool,2026-6-18,https://www.producthunt.com/products/retool,https://retool.com,Milly Arkwright; David Hsu; Kasey F Hickey,Product Hunt public launch-team/maker names; founder title not independently verified,support@retool.com,https://www.producthunt.com/products/retool,https://retool.com/about,
VoiceOS,2026-6-18; 2026-8-9,https://www.producthunt.com/products/voiceos,https://voiceos.com,René Grywnow,Official website founder-role or founded-by evidence,support@voiceos.com,https://voiceos.com; https://www.producthunt.com/products/voiceos,https://www.voiceos.com/contact,
Viktor for Microsoft Teams,2026-6-18; 2026-7-1; 2026-7-3; 2026-7-4; 2026-7-5; 2026-7-6; 2026-7-7; 2026-7-8; 2026-7-9; 2026-7-10; 2026-7-11; 2026-7-12; 2026-7-13; 2026-7-14; 2026-7-15; 2026-7-18; 2026-7-19; 2026-7-20; 2026-7-22; 2026-7-24; 2026-7-25; 2026-7-26; 2026-7-27; 2026-7-28; 2026-7-29; 2026-7-30; 2026-7-31; 2026-8-1; 2026-8-2; 2026-8-3; 2026-8-4; 2026-8-5; 2026-8-7; 2026-8-8; 2026-8-9; 2026-8-10; 2026-8-11; 2026-8-12; 2026-8-13; 2026-8-14; 2026-8-16; 2026-8-17; 2026-8-18,https://www.producthunt.com/products/viktor,https://ref.viktor.com/ph_product_page,Jordan Dikoum; Jacob Aldridge,Official website founder-role or founded-by evidence,security@viktor.com; support@viktor.com,https://ref.viktor.com/ph_product_page; https://www.producthunt.com/products/viktor,https://viktor.com/compare/viktor-vs-lindy-teammate; https://viktor.com/about,
Framer AI Agents,2026-6-18; 2026-6-19; 2026-6-20; 2026-6-21; 2026-6-22; 2026-6-23; 2026-6-24; 2026-6-25; 2026-6-26; 2026-6-27; 2026-6-28; 2026-6-29; 2026-6-30; 2026-7-2; 2026-7-16; 2026-7-17; 2026-7-20; 2026-8-6,https://www.producthunt.com/products/framer,http://www.framer.com,Gwen; Emili Iv; Joseph Angelo Todaro,Product Hunt public launch-team/maker names; founder title not independently verified,support@framer.com; abuse@framer.com,https://www.producthunt.com/products/framer,https://www.framer.com/contact/; https://www.framer.com/help/,
